Topic,Question,Answer,url
Workers Comp ,What is workers’ compensation?,"Workers' compensation provides benefits to employees who are injured or become ill during the course of or due to employment. You could get hurt by:
• One event at work, such as hurting your back in a fall, getting burned by a chemical that splashes on your skin or getting hurt in a car accident while making deliveries.
• Repeated exposures at work, such as hurting your wrist from doing the same motion over and over or losing your hearing because of constant loud noise.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,What does workers’ compensation cover?,"These benefits may include medical treatment, payments for lost wages, payments that compensate the injured employee for having a permanent impairment or limitation, vouchers to pay for retraining, and death benefits.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,What should I do if I get injured on the job?," Promptly report the injury to your employer. If your injury or illness developed over time, report it as soon as you learn or believe it was caused by your job.
Get emergency treatment if you need it. Your employer may tell you where to go for treatment. Tell the health care provider who treats you that your injury or illness is job-related.
Fill out a claim form and give it to your employer. If your employer doesn't give you the claim form, you can download it from the DWC website.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,How do I obtain medical treatment?,"If you did not pre-designate your physician prior to the date of injury, you must see a physician listed in the Medical Provider Network (MPN). State employees can refer to the State Fund MPN Provider Finder to identify an MPN physician in their area.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,Why do I need to attend a Qualified Medical Examiner (QME) appointment?,"You and/or the claims administrator might disagree with what the treating doctor says. There could be other disagreements over medical issues in your claim. A Qualified Medical Examiner (QME) can be asked to address those disagreements.  A QME may be asked to determine:
• Whether or not your injury was caused by your work
• Whether or not you may need future treatment for your injury
• Whether or not you need to stay home from work to recover
• The level of permanent disability that may have resulted from your work-related injury
The QME report is used to determine what benefits you are entitled to receive.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,Does an employee continue to make California Public Employee Retirement System (CalPERS) or California State Teachers Retirement System (CalSTRS) contributions and earn retirement credit while receiving Industrial Disability Leave (IDL)?,"An employee receiving Industrial Disability Leave (IDL) will continue to make CalPERS or CalSTRS contributions and earn retirement credit while receiving IDL. The employee’s full contribution will be deducted from the IDL payment. For more information regarding retirement contributions, contact CalPERS or CalSTRS directly.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,When should a department submit an Employer's First Report of Injury (STATES 3067S)?,The department should submit the Employer's First Report of Injury as soon as possible after the employer’s knowledge or notification that a work-related injury or illness has occurred and no later than five days from the employer’s date of knowledge.,https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,How do I determine the date of knowledge (DOK)?,"The date of knowledge (DOK) is the date the employer knew or should have known that a work-related injury or illness occurred or is being claimed.

For example:

• A work-related injury or illness has occurred that requires medical treatment beyond first aid or that results in lost time beyond the date of injury.
• An employee informs you that he or she has suffered a work-related injury or illness. The claimed injury or illness does not have to be witnessed.
• An employee presents a doctor’s note stating that a work-related injury or illness has occurred.
• An accident occurs on state property injuring a state employee.
• An accident occurs while a state employee is conducting state business and the employee is injured.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,Are employees eligible for Administrative Time Off (ATO) for appointments or other lost time related to their workers’ compensation claim?,"When in the course of a workers’ compensation claim, an employee is asked to attend a medical-legal evaluation pursuant to Labor Code 4060, 4061 or 4062 with a medical evaluator, such as a Qualified Medical Evaluator (QME), an Agreed Medical Evaluator (AME), or an Independent Medical Evaluator (IME), the employee should be placed on Administrative Time Off (ATO) for any time lost from work.

In addition to medical-legal appointments, ATO is also granted for time lost on the date of injury and for time lost to attend a deposition.

ATO is not granted for regular medical appointments, to meet with attorney, or to attend a hearing or other appointment at the Workers’ Compensation Appeals Board.

For more information on ATO related to a Workers' Compensation claim, please refer to the CalHR Manual: Workers’ Compensation Administrative Time Off.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,Are departments still required to report COVID-19 cases?,All COVID-19 cases should be reported to State Compensation Insurance Fund through the end of 2023.,https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,How does our department add or remove employees from the CalHR Workers’ Compensation contact list in order to receive information about the Forums and Roundtables meetings?,Email all CalHR Workers’ Compensation contact list changes or requests directly to workcomp@calhr.ca.gov.,https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,What is the first day of disability for IDL for the purpose of calculating the 52 weeks or appropriate work hours in the two year period for IDL?,"The first day of disability is the first day of lost time, not the date of injury. Since the day of injury is paid as Administrative Time Off, it would not be appropriate to include the date of injury as the beginning of the IDL period. It is important to remember that all days of disability must be confirmed by State Fund and may be partial days of disability.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp , Is time used on the date of injury picked up as Administrative Time Off only after the workers’ compensation claim is approved?,"No. If the employee missed time from work on the date of injury, this time is Administrative Time Off even if the claim is not approved for workers’ compensation benefits. Employees should be directed to seek appropriate medical treatment, and employers should authorize the initial visit and secure transportation if necessary.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,Is IDL paid for time lost from work to attend medical appointments related to the employee’s workers’ compensation injury?,"No, not after July 1, 2014. IDL is paid for medically substantiated periods of disability that State Fund has confirmed. The obligation to pay IDL ends when the injured employee returns to work, is deemed able to return to work, or when the employee’s medical condition achieves permanent and stationary status. If the employee is able to work, time off solely to attend a medical appointment does not constitute a period of disability. Employees can use available leave credits, or adjust their time (depending on business needs) to attend medical appointments.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,"How is the three calendar day waiting period calculated after July 1, 2014?","IDL is not paid for the first three days after an employee leaves work as a result of the injury unless temporary disability continues for more than 14 days, the injury is the result of a criminal act of violence, or the employee is hospitalized for treatment required by the injury. The three day waiting period shall be identified by State Fund as the first three days of medically substantiated disability. These days of disability do not need to be full days, consecutive days, or days that the employee was scheduled to work. The waiting period is calculated the same for all employees regardless of work schedules and time bases. Here are two examples:Emily Employee was injured on Thursday. The doctor reported, and State Fund confirmed, that Emily was disabled and could not return to work until Monday. The waiting period was served (Friday, Saturday, and Sunday). Emily Employee was injured on Thursday. The doctor reported, and State Fund confirmed, that Emily could only work half time Friday, Saturday, and Sunday, and return to work on her regular schedule on Monday. The employee has served the waiting period (Friday, Saturday, and Sunday).",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ," Prior to July 1, 2014, how was the three calendar day waiting period and 14 day period calculated?",The waiting period did not need to be consecutive or full days of absence. Partial days of absence relating to the disability (including medical appointments) were accumulated to 24 hours to fulfill the waiting period. The waiting period did not need to be consecutive or full days of absence. Partial days of absence relating to the disability (including medical appointments) were accumulated to 24 hours to fulfill the waiting period.,https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,Must the Agency complete the Industrial Disability Leave – Benefit Option Comparison (STD. 618S) for every employee who is approved for IDL?,Yes. The STD. 618S must be completed upon receipt of the disability notification from State Fund. The STD. 618S is a key piece of documentation for both the employer and the employee that provides a basic explanation of the benefits and calculation of compensation.,https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,"If an employee incurred a work-related injury or illness at one state agency and transfers to another agency, which agency is responsible for paying IDL?","Each agency is responsible for paying IDL during the periods of disability that occurred while the employee was working for that agency. The agency losing the employee has a duty to provide any history of IDL paid (calendar, 618S, etc.) to the agency gaining the employee.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,Whose responsibility is it to track the waiting period and the 52 weeks or appropriate hours of IDL?,"It is the agency’s responsibility to track the waiting period and the hours of IDL. The agency should notify State Fund 30 days prior to the final hour of IDL, so that State Fund can begin paying TD, if appropriate. It is State Fund’s responsibility to notify agencies of medically substantiated periods of disability, including the waiting period. After July 1, 2014, full-time employees have 2080 hours of IDL available. To determine the eligible hours of IDL, for other time bases, use the following formula: 2080 x time base = total hours available The calculations for some common time bases are shown below:
1/2 time employees: 2080 x 1/2 = 1040 hours 3/4 time employees: 2080 x 3/4 = 1560 hours 5/6 time employees: 2080 x 5/6 = 1733 hours 4/5 time employees: 2080 x 4/5 = 1664 hours 7/8 time employees: 2080 x 7/8 = 1820 hours
",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,How are the appropriate hours of IDL tracked for employees who change time bases during the time they are receiving IDL benefits?,"The goal is to provide 52 weeks of IDL benefits within a two year period. If an employee changes time bases during their period of IDL eligibility, you will need to recalculate the available hours to insure the employee receives the benefits they are entitled to. Convert the hours the employee used to days (may need to approximate). Subtract that number from 260 paid days in a year to determine the number of available days of IDL. Convert the number of available days back to hours at the new time base. Here are two examples: Emily Employee was a full-time employee and used 360 hours of IDL, then her time base was reduced to ¾ time. How many hours of IDL are available?  360 hours at full-time = 45 days (360 divided by 8 hours/day)
260 – 45 = 215 x 6 (3/4 time = 6 hours per day) = 1290 hours of IDL available
Emily Employee was a half time employee and used 175 hours of IDL, then her time base was increased to 7/8 time. How many hours of IDL are available?
175 hours at 1/2 time = 44 days (175 divided by 4 hours/day = 43.75 round
to 44)
260 – 44 = 216 x 7 (7/8 time = 7 hours per day) = 1512 hours of IDL available
",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,Should employees on alternate work week schedules have their schedules changed to a 5-8-40 schedule?,No. An employee off for the month on IDL can remain on their alternate work schedule and does not earn or use excess hours or holidays. An employee cannot be paid more than the maximum hours in the pay period.,https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,How are excess/deficit hours shown for employees on alternate work week schedules who are using IDL intermittently or working while on IDL?,Treat the employee the same as if they were working. The employee receives a credit for months when there is an excess and for months with a deficit they must use leave credits to supplement the number of hours required for the pay period.,https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,Does the amount of leave credits used to supplement IDL count toward the hours of IDL the employee is entitled to?,"No. Leave credits used for supplementation have a dollar value, but no “time value.” The employee’s time off is already covered by IDL, the supplementation is just a cash out of available leave credits to bridge the gap between the IDL payment and regular salary.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp , Can an employee receiving IDL go on vacation?,"Yes. If the employee is totally temporarily disabled and receiving full IDL, continue the IDL payment. If the employee is working while on IDL, continue the IDL payment and post appropriate leave credits for the additional time missed from work. Agencies are encouraged to share information about the employee’s activities with the claims adjuster.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,Are employees entitled to special pay(s) when they are on IDL?,"Refer to Section 14, “Pay Differentials”, in the California State Civil Service Pay Scales Manual to determine if the special pay should be included or excluded from the IDL calculation. If it states that the pay should be included in the calculations and is ongoing, the IDL calculation must include the special pay. If the special pay is task related (e.g., diving pay) and the employee must perform the task to receive the pay, the special pay should only be included if the employee was scheduled to perform the task.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,Is an employee entitled to shift differential while on IDL?,"Yes, if the employee was receiving the shift differential at the time of the injury. However, if there is a regular shift rotation that would place the employee on a shift not entitled to the differential, payments for IDL and supplementation should be recalculated to exclude shift pay.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,How is an employee compensated for holidays while receiving IDL?,"If the holiday falls within the disability period it is compensated in the employee’s IDL payment.  If the holiday falls outside the disability period or is a Saturday Holiday, provide payment or holiday credit as if the employee were not receiving IDL. If the employee is working reduced hours due to the injury, and receiving IDL for the balance of the hours, the employee would be paid for the holiday and the time would not count against the employee’s IDL benefits.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,Can an employee who is in two state miscellaneous positions qualify for IDL in both positions?,"Yes. If both positions are CalPERS/CalSTRS-qualifying positions, the employee may receive IDL if he or she is disabled in both jobs, as long as the total IDL compensation does not exceed the equivalent of one full-time position. The position with the higher time base is used for this calculation; if both positions are equal in time base, the higher salaried position is used. If the employee is in a full-time position and a part-time position, IDL is paid on the full-time position.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,Can an employee who is in two state safety positions qualify for EIDL in both positions?,"Yes. If both jobs qualify for EIDL, the employee is disabled from both jobs, State Fund has notified both agencies, and the appointing powers at both jobs approve the benefits.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp , Does an employee continue to make CalPERS/CalSTRS contributions and earn full retirement credit while receiving IDL?,"Yes. An employee’s full CalPERS/CalSTRS contribution will be deducted from the IDL payment. The employee will continue to earn full retirement credits. For more information regarding retirement contributions, contact CalPERS or CalSTRS directly.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,Does an employee continue to make CalPERS/CalSTRS contributions and earn full retirement credit while receiving IDL?,"Yes, however per Government Code section 19844.1, time when an employee is excused from work because of holidays, sick leave, vacation, annual leave, compensating time off, or any other leave shall not be considered as time worked by the employee for the purpose of computing cash or compensating time off for overtime. Only actual hours worked count toward the weekly calculation for premium rate overtime pay. Employees who are not eligible for premium rate would earn straight rate pay.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,Can employees supplement Permanent Disability (PD) advances with leave credits?,No. There is no statutory authority to supplement PD advances with leave credits.,https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,Can an employee opt to use their sick leave in lieu of IDL?,"No. Government Code section 19871 states that the employee shall receive IDL. However, employees are allowed to use leave credits or dock to cover periods of disability that have not yet been confirmed by State Fund. Once the period of disability has been confirmed by State Fund, the agency will restore those leave credits and pay IDL.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,"If an employee is injured prior to becoming a CalPERS or CalSTRS member and becomes a member while on TD, can he or she elect to go on IDL?",No. The employee must remain on TD for the duration of the disability because they were not eligible for IDL on the date of injury.,https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,Can an employee receive IDL after reaching maximum medical improvement or becoming permanent and stationary?,"When an employee becomes permanent and stationary, they are no longer eligible for IDL. However, in some cases, an employee will experience a subsequent period of temporary disability. This would entitle the employee to an additional period of IDL if State Fund confirms the subsequent period of temporary disability and the employee has not exhausted their IDL benefits.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,"s it possible for an employee to receive IDL and NDI on the same date, assuming that they qualify for both benefits?","Yes. If the NDI benefit is greater than the IDL benefit that the employee is due for the day, the employee gets the IDL and the balance due for NDI. For example, if the IDL benefit is $10 and the NDI benefit is $19, the employee receives $10 in IDL benefits and $9 in NDI benefits. Refer to Government Code section 19882 This is uncommon and rarely happens during IDL",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,Can an employee receive State Disability Insurance (SDI) benefits for an industrial injury?,"Employees can apply for and receive SDI during the period of disability while their workers’ compensation claim is pending or denied. If the claim is approved at a later date, and IDL benefits are confirmed by State Fund, there may be over lapping IDL and SDI benefits, and a potential overpayment of SDI. The employee is responsible for resolving any SDI overpayment with the Employment Development Department.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,Can an employee take a bereavement leave while on IDL?,Yes. The employee is entitled to bereavement leave when on IDL. The agency should interrupt IDL and put the employee on bereavement leave (regular pay status) for the appropriate period of time and then resume IDL. The regular pay days/hours do not count toward the IDL limit.,https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp , Can an employee attend jury duty while on IDL?,"Yes, if the work restrictions placed on the employee do not conflict with jury service. The employee is bound by the same rules regarding jury duty as if they were working, and should provide substantiation of jury service. The agency should interrupt IDL for the period of time the employee is on jury duty and place them on regular pay status. Once jury duty is completed, the employee should be placed back on IDL. The regular pay days/hours do not count toward the IDL limit.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,Is an employee eligible for catastrophic leave while waiting for IDL to be approved or for supplementation of IDL?,Yes. An employee may be eligible for an agency’s catastrophic leave program if the nature of the illness or injury otherwise meets the criteria established by the agency for catastrophic leave. Please check the appropriate bargaining unit contract.,https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,"If an employee is off work on IDL and is eligible for a Merit Salary Adjustment (MSA), should the supervisor approve the pay increase?",Yes. You cannot deny a MSA because the employee filed a workers’ compensation claim.,https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,Can an employee who is on IDL change their marital status and dependents?,"Adding or deleting family members can be done whenever appropriate. However, changes may not be made to exemptions for the purpose of tax withholding during the first 22 working days or 176 hours of approved IDL (which are paid at full net salary), because Government Code section 19871 requires that IDL payments be based on the net salary at the date of injury. Marital status and dependents may be changed after the first 22 working days or 176 hours of IDL have been paid.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,"Can an employee on IDL who subsequently demotes during the disability period retain their salary rate, or is the salary rate adjusted to reflect the demotion?","IDL should be adjusted to reflect the salary an employee would receive if the disability had not occurred. If the employee receives an increase in pay while on IDL, the benefit payments increase; if the employee receives a demotion or pay cut, the IDL payment should be reduced accordingly.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,Is an employee who is suspended because of an adverse action while on a workers’ compensation claim entitled to IDL during the suspension?,"No. An employee who is suspended and taken off pay status while on IDL may be eligible for TD without supplementation during the period of the suspension. State Fund must be notified that the employee has been suspended so they can begin TD if appropriate. However, if possible, it is best to postpone any disciplinary action until the employee has returned to work from disability leave.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,Does the time off on suspension count towards the 52-week limit on IDL?,"No. If State Fund confirms that the employee is still temporarily disabled, the IDL will resume without any loss in benefit levels after the suspension has ended.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,Can the employer deny IDL benefits if they have knowledge that the injured worker is working at another job while on IDL?,"No. IDL payments cannot be withheld simply because the injured worker has another job. However, if the injured worker is working, it should be brought to the attention of State Fund immediately so they can investigate if necessary.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,Is an employee who is terminated because of an adverse action entitled to IDL after the effective date of the termination?,"No. IDL is a disability leave benefit which provides for salary continuation. It is based on the assumption that the employee is a current employee and will eventually return to work. Termination is not a temporary absence and there is no expectation the employee will return to work, so there is no legal basis to provide salary continuation benefits. However, State Fund must be promptly notified by the agency when the employee is terminated, because they may be eligible for TD benefits.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,How are employees on IDL to be treated if they are subject to layoff based on seniority?,"Employees on IDL are subject to the same procedures as other employees during a layoff. An employee on IDL should be notified at the same time as other employees and advised of their employment options. IDL continues up until the actual date of layoff, but terminates when the layoff is effective. After the layoff, the employee may be entitled to receive TD without supplementation. The agency must notify State Fund promptly when an employee with a workers’ compensation claim is laid off, so State Fund can begin TD benefits if appropriate.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,"If IDL is retroactively rescinded, does the agency have to collect the overpayment?","Yes. Agencies are obligated to set up an accounts receivable to collect the overpayment. However, pursuant to Government Code section 19838, agencies cannot take action to recoup an overpayment unless the action is initiated within three years from the date of overpayment.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Workers Comp ,How many hours of IDL is a PI employee entitled to per claim?,"If the PI employee is a CalPERS or CalSTRS member, the PI employee is entitled to a maximum of 52 weeks of IDL within a two year period from the first approved date of disability for each claim. Prior to July 1, 2014, a PI employee is entitled 365 calendar days of IDL within a two-year period from the first day of disability for each claim. After July 1, 2014, he number of hours that constitute 52 weeks of IDL may vary depending on the employee’s work schedule, but will never exceed 2080 hours.",https://calhr.benefitsprograms.info/state-employee/work-engagement-resources/workers-compensation/
Dependent Re-Verification,Will employees be required to provide original documents?,"No. Employees should provide copies of the documents and write ""Not for Official Use"" on them. Original documents should not be submitted. However, departmental personnel staff performing verifications should make copies and return originals, if they are submitted inadvertently.",https://calhr.benefitsprograms.info/state-employee/dependent-re-verification/
Dependent Re-Verification,"Why are two documents required for re-verifying a spouse or domestic partner, instead of just the government issued marriage certificate or the Declaration of Domestic Partnership?","The first document establishes the life event allowing the enrollment of the dependent (i.e., marriage or registering as domestic partners), while the second required document substantiates the relationship is current.",https://calhr.benefitsprograms.info/state-employee/dependent-re-verification/
Dependent Re-Verification,May employees redact sensitive information from the documents I submit?,"Yes. Employees are responsible for redacting sensitive information, not necessary for dependent re-verification purposes, from any applicable documents (such as tax returns).",https://calhr.benefitsprograms.info/state-employee/dependent-re-verification/
Dependent Re-Verification,Will employees be reimbursed for the cost of obtaining re-verification documents?,No. Employees will be responsible for any charges related to obtaining copies of the required documents.,https://calhr.benefitsprograms.info/state-employee/dependent-re-verification/
Dependent Re-Verification,"Why are employees required to provide the documents again, when they were provided when the dependents were initially enrolled?","Providing a copy of the documents for the initial DRV cycle will enable a more direct process for the departmental personnel offices to re-verify the family members. Departmental personnel offices are required to keep all documents used in the DRV process in the employee OPFs without a purge date. In subsequent re-verifications, employees need not provide birth certificates for natural-born children or adoption certificates for adopted children again. They also need not provide the marriage certificate, domestic partnership registration, and birth certificates for stepchildren or domestic partner children if the marriage or domestic partnership remains current, unless requested by the departmental personnel office.",https://calhr.benefitsprograms.info/state-employee/dependent-re-verification/
Dependent Re-Verification,What about the documents that employees provided to HMS Employee Solutions (HMS) during the Dependent Eligibility Verification (DEV) project in 2013 and 2014?,HMS securely destroyed the documents received during the DEV project to protect the privacy of you and your family members.,https://calhr.benefitsprograms.info/state-employee/dependent-re-verification/
Dependent Re-Verification,What happens if employees do not provide the required documents during the re-verification cycle?,"If employees do not respond or provide the required documents during their re-verification cycle, CalPERS will remove these dependents from health benefits effective the first of the month after the employee's birth month. Departmental personnel offices will remove unverified dependents from dental and vision benefits, if enrolled.",https://calhr.benefitsprograms.info/state-employee/dependent-re-verification/
